,name,epochs,dropout,optimizer,activation,batch_size,initializer,learning_rate,layer_size_hl1,layer_size_hl2,layer_size_hl3,layer_size_hl4,layer_size_hl5,optmizer,layerSizeH1,layerSizeHl1,layerSizeHl2,layer_size,channels_one,channels_two,initializer,layer_size_hl2,_timestamp,id,dropout,_runtime,accuracy,optimizer,epochs,best_epoch,layer_size_hl1,batch_size,val_accuracy,best_val_loss,loss,_step,epoch,val_loss,activation,learning_rate,layer_size_hl3,graph,layer_syze_hl3,layer_syze_hl1,layer_syze_hl2,val_categorical_crossentropy,categorical_crossentropy,layer_syze_hl4,layer_syze_hl5,layer_syze
48,eager-sweep-15,26,0.3,rmsprop,relu,64.0,he_normal,0.001782092238738058,23,27,9,,,,,,,,,,he_normal,27.0,1612024989.0,23e4a609,0.3,44.0,0.8664236068725586,rmsprop,26,24.0,23.0,64.0,0.8700000047683716,0.27618086338043213,0.28752943873405457,26.0,25.0,0.2811303436756134,relu,0.001782092238738058,9.0,,,,,,,,,
49,lively-sweep-14,22,0.1,rmsprop,relu,64.0,he_normal,0.001906889158303256,21,28,13,,,,,,,,,,he_normal,28.0,1612024917.0,fd00bcee,0.1,38.0,0.8774999976158142,rmsprop,22,18.0,21.0,64.0,0.8681944608688354,0.27731263637542725,0.26597821712493896,22.0,21.0,0.27743324637413025,relu,0.001906889158303256,13.0,,,,,,,,,
50,comfy-sweep-13,20,0.2,rmsprop,relu,96.0,he_normal,0.0018629412377411368,20,16,8,,,,,,,,,,he_normal,16.0,1612024850.0,dc8b1db8,0.2,25.0,0.8701736330986023,rmsprop,20,17.0,20.0,96.0,0.8754166960716248,0.2780822515487671,0.3010978400707245,20.0,19.0,0.296766459941864,relu,0.0018629412377411368,8.0,,,,,,,,,
51,easy-sweep-12,28,0.2,rmsprop,relu,96.0,he_normal,0.0019230072902493623,6,28,15,,,,,,,,,,he_normal,28.0,1612024793.0,b5e22a32,0.2,33.0,0.8313194513320923,rmsprop,28,27.0,6.0,96.0,0.8358333110809326,0.32076531648635864,0.3257642984390259,28.0,27.0,0.32076531648635864,relu,0.0019230072902493623,15.0,,,,,,,,,
52,royal-sweep-11,15,0.1,rmsprop,relu,64.0,he_normal,0.0015377199487775857,26,11,9,,,,,,,,,,he_normal,11.0,1612024728.0,91e72d4c,0.1,29.0,0.8617361187934875,rmsprop,15,12.0,26.0,64.0,0.8612499833106995,0.29866713285446167,0.29944702982902527,15.0,14.0,0.3004070222377777,relu,0.0015377199487775857,9.0,,,,,,,,,
53,gallant-sweep-10,12,0.4,rmsprop,relu,160.0,he_normal,0.001444215834131275,9,24,27,,,,,,,,,,he_normal,24.0,1612024668.0,77751c02,0.4,13.0,0.7029513716697693,rmsprop,12,6.0,9.0,160.0,0.7083333134651184,0.5205685496330261,0.545354425907135,12.0,11.0,0.5396987199783325,relu,0.001444215834131275,27.0,,,,,,,,,
54,woven-sweep-9,6,0.3,rmsprop,relu,196.0,he_normal,0.0019494157203884508,12,15,22,,,,,,,,,,he_normal,15.0,1612024625.0,5fdd9893,0.3,9.0,0.7204514145851135,rmsprop,6,5.0,12.0,196.0,0.723194420337677,0.4883755445480346,0.4880622923374176,6.0,5.0,0.4883755445480346,relu,0.0019494157203884508,22.0,,,,,,,,,
55,playful-sweep-8,23,0.4,rmsprop,relu,128.0,he_normal,0.0008952783981657103,9,25,9,,,,,,,,,,he_normal,25.0,1612024585.0,3f420235,0.4,24.0,0.7471874952316284,rmsprop,23,21.0,9.0,128.0,0.75,0.4326519668102264,0.4563200771808624,23.0,22.0,0.4504765272140503,relu,0.0008952783981657103,9.0,,,,,,,,,
56,upbeat-sweep-7,19,0.5,rmsprop,relu,96.0,he_normal,0.0010235611555087028,9,17,23,,,,,,,,,,he_normal,17.0,1612024532.0,1eeed5fb,0.5,25.0,0.5301735997200012,rmsprop,19,2.0,9.0,96.0,0.5222222208976746,0.5774083733558655,0.7439319491386414,19.0,18.0,0.7464253306388855,relu,0.0010235611555087028,23.0,,,,,,,,,
57,rare-sweep-6,27,0.3,rmsprop,relu,32.0,he_normal,0.0005942846581075862,21,6,9,,,,,,,,,,he_normal,6.0,1612024480.0,df45e464,0.3,80.0,0.8233333230018616,rmsprop,27,26.0,21.0,32.0,0.820277750492096,0.4174898564815521,0.4156794846057892,27.0,26.0,0.4174898564815521,relu,0.0005942846581075862,9.0,,,,,,,,,
